[catch_wm s0 d0] variant C_world_model on cpu; env synthetic:catch (sticky=0.0); actions ['NOOP', 'FIRE', 'RIGHT', 'LEFT']; budget 20000 decisions, warmup until 1000
[catch_wm s0 d57] episode 1: return -3, 57 decisions
[catch_wm s0 d113] episode 2: return -5, 56 decisions
[catch_wm s0 d167] episode 3: return -5, 54 decisions
[catch_wm s0 d225] episode 4: return -3, 58 decisions
[catch_wm s0 d285] episode 5: return -5, 60 decisions
[catch_wm s0 d343] episode 6: return -5, 58 decisions
[catch_wm s0 d399] episode 7: return -5, 56 decisions
[catch_wm s0 d458] episode 8: return -5, 59 decisions
[catch_wm s0 d516] episode 9: return -3, 58 decisions
[catch_wm s0 d573] episode 10: return -5, 57 decisions
[catch_wm s0 d629] episode 11: return -3, 56 decisions
[catch_wm s0 d686] episode 12: return -5, 57 decisions
[catch_wm s0 d744] episode 13: return -3, 58 decisions
[catch_wm s0 d802] episode 14: return -3, 58 decisions
[catch_wm s0 d858] episode 15: return -5, 56 decisions
[catch_wm s0 d915] episode 16: return -3, 57 decisions
[catch_wm s0 d967] episode 17: return -5, 52 decisions
[catch_wm s0 d1023] episode 18: return -5, 56 decisions
[catch_wm s0 d1076] episode 19: return -5, 53 decisions
[catch_wm s0 d1129] episode 20: return -3, 53 decisions
[catch_wm s0 d1182] episode 21: return -5, 53 decisions
[catch_wm s0 d1239] episode 22: return -3, 57 decisions
[catch_wm s0 d1296] episode 23: return -5, 57 decisions
[catch_wm s0 d1350] episode 24: return -1, 54 decisions
[catch_wm s0 d1406] episode 25: return -3, 56 decisions
[catch_wm s0 d1462] episode 26: return -3, 56 decisions
[catch_wm s0 d1519] episode 27: return -3, 57 decisions
[catch_wm s0 d1577] episode 28: return -5, 58 decisions
[catch_wm s0 d1635] episode 29: return -5, 58 decisions
[catch_wm s0 d1692] episode 30: return -5, 57 decisions
[catch_wm s0 d1750] episode 31: return -5, 58 decisions
[catch_wm s0 d1809] episode 32: return -5, 59 decisions
[catch_wm s0 d1862] episode 33: return -3, 53 decisions
[catch_wm s0 d1920] episode 34: return -5, 58 decisions
[catch_wm s0 d1976] episode 35: return -5, 56 decisions
[catch_wm s0 d2036] episode 36: return -3, 60 decisions
[catch_wm s0 d2095] episode 37: return -5, 59 decisions
[catch_wm s0 d2151] episode 38: return -5, 56 decisions
[catch_wm s0 d2206] episode 39: return -5, 55 decisions
[catch_wm s0 d2262] episode 40: return -3, 56 decisions
[catch_wm s0 d2319] episode 41: return -5, 57 decisions
[catch_wm s0 d2379] episode 42: return -1, 60 decisions
[catch_wm s0 d2439] episode 43: return -4, 60 decisions
[catch_wm s0 d2493] episode 44: return -3, 54 decisions
[catch_wm s0 d2548] episode 45: return -3, 55 decisions
[catch_wm s0 d2607] episode 46: return -5, 59 decisions
[catch_wm s0 d2665] episode 47: return -3, 58 decisions
[catch_wm s0 d2720] episode 48: return -3, 55 decisions
[catch_wm s0 d2780] episode 49: return -5, 60 decisions
[catch_wm s0 d2835] episode 50: return +1, 55 decisions
[catch_wm s0 d2891] episode 51: return -5, 56 decisions
[catch_wm s0 d2949] episode 52: return -5, 58 decisions
[catch_wm s0 d3000] update 500: loss_q=0.0408 loss_jepa=0.0589 loss_reward=0.1713 loss_continue=0.0718 loss_var=0.0032 latent_std_mean=0.3083
[catch_wm s0 d3008] episode 53: return -5, 59 decisions
[catch_wm s0 d3064] episode 54: return +1, 56 decisions
[catch_wm s0 d3120] episode 55: return -3, 56 decisions
[catch_wm s0 d3180] episode 56: return -4, 60 decisions
[catch_wm s0 d3235] episode 57: return -5, 55 decisions
